Ensembl Gene ID	% GC content	Gene Start (bp)	Gene End (bp)
ENSMUSG00000026656	45.45	170958617	170976547
ENSMUSG00000019689	45.23	38533502	38539449
ENSMUSG00000028341	46.08	48045153	48086447
ENSMUSG00000049866	47.50	88673125	88702221
ENSMUSG00000027167	37.95	105701027	105904564
ENSMUSG00000040351	39.20	3690000	3802925
ENSMUSG00000081670	39.48	38542303	38546074
ENSMUSG00000071262	45.72	79212353	79247369
ENSMUSG00000028647	42.18	123904832	123912269
ENSMUSG00000084951	49.25	60776329	60784581
ENSMUSG00000055322	51.43	73910231	74124449
ENSMUSG00000063268	51.87	76231174	76243441
ENSMUSG00000084870	43.73	105708999	105710098
ENSMUSG00000028331	44.42	46376505	46389437
ENSMUSG00000105950	38.75	3751901	3755577
ENSMUSG00000027395	46.20	129100995	129126594
ENSMUSG00000106300	48.11	30529457	30543830
ENSMUSG00000018669	52.82	96907426	96916496
ENSMUSG00000052912	41.93	145464204	145467420
ENSMUSG00000068536	50.82	48974963	48978746
ENSMUSG00000022018	47.24	79288756	79301645
ENSMUSG00000087076	54.41	145469711	145470050
ENSMUSG00000075270	42.45	75989141	76338774
ENSMUSG00000026544	52.84	172630764	172632962
ENSMUSG00000028550	41.79	99193934	99259787
ENSMUSG00000104220	49.13	66937365	66938736
ENSMUSG00000086782	45.62	101346531	101356735
ENSMUSG00000083631	39.48	15385618	15386587
ENSMUSG00000085875	42.04	123905062	123917269
ENSMUSG00000082215	53.00	179020119	179021133
ENSMUSG00000037364	51.37	137295704	137307674
ENSMUSG00000060128	46.77	172669034	172669636
ENSMUSG00000007850	39.93	50376990	50386528
ENSMUSG00000061897	43.64	179177425	179177880
ENSMUSG00000083614	47.90	101362177	101362890
ENSMUSG00000081481	41.94	179240490	179241066
ENSMUSG00000086512	39.70	87298362	87301270
ENSMUSG00000022801	41.72	32914100	33015647
ENSMUSG00000028878	46.23	132899213	132922558
ENSMUSG00000081882	49.80	179364293	179365043
ENSMUSG00000005204	47.84	69673115	69682084
ENSMUSG00000104479	42.42	99272671	99275145
ENSMUSG00000087361	45.27	101353783	101399181
ENSMUSG00000055748	42.46	63891264	63912297
ENSMUSG00000039138	48.48	179414936	179416882
ENSMUSG00000070891	50.63	99295900	99297258
ENSMUSG00000039089	41.55	26274468	26375185
ENSMUSG00000070371	50.42	127932638	127946725
ENSMUSG00000026415	46.44	130800902	130814740
ENSMUSG00000082443	44.56	87580789	87581560
ENSMUSG00000029716	50.36	137569840	137587481
ENSMUSG00000103097	45.55	99376066	99385712
ENSMUSG00000081184	49.53	99418498	99418711
ENSMUSG00000087288	60.36	134018147	134019869
ENSMUSG00000028293	41.02	34663257	34687438
ENSMUSG00000025372	52.41	119942763	120006782
ENSMUSG00000028938	44.28	25181460	25220297
ENSMUSG00000085049	46.03	112526972	112535683
ENSMUSG00000086706	46.92	130809977	130824084
ENSMUSG00000082619	51.82	75969898	75970171
ENSMUSG00000038623	47.27	81859001	81884434
ENSMUSG00000085662	48.46	75992691	75993992
ENSMUSG00000101736	52.51	88722366	88722824
ENSMUSG00000100895	50.77	10235871	10236971
ENSMUSG00000073226	38.02	10187866	10237890
ENSMUSG00000097398	50.18	88754890	88755736
ENSMUSG00000104875	49.05	143334635	143335425
ENSMUSG00000020525	41.78	85311244	85347066
ENSMUSG00000035212	45.02	101647718	101659364
ENSMUSG00000050966	48.65	134003330	134018841
ENSMUSG00000100018	49.72	91171429	91172148
ENSMUSG00000026301	46.61	90042132	90153401
ENSMUSG00000081096	42.98	98146144	98146599
ENSMUSG00000096277	45.86	38902035	38907147
ENSMUSG00000069355	44.78	10242041	10246526
ENSMUSG00000078238	46.13	116067268	116067564
ENSMUSG00000082442	36.52	99418773	99419169
ENSMUSG00000101023	49.21	38918720	38922202
ENSMUSG00000033255	45.47	75954514	76009591
ENSMUSG00000105157	36.57	10249092	10349408
ENSMUSG00000101035	48.11	38953208	38956969
ENSMUSG00000018846	39.94	35769484	35791285
ENSMUSG00000006705	48.06	31564749	31607684
ENSMUSG00000101703	48.75	39137893	39139779
ENSMUSG00000021288	50.64	111758849	111807844
ENSMUSG00000073779	53.01	107806033	107823022
ENSMUSG00000087298	39.71	46820864	46821417
ENSMUSG00000099762	44.56	15471703	15476523
ENSMUSG00000028211	39.53	11156431	11174379
ENSMUSG00000042333	54.14	154922210	154928563
ENSMUSG00000084773	40.20	45102866	45116928
ENSMUSG00000038618	59.56	141215860	141218658
ENSMUSG00000026917	48.60	27515157	27536535
ENSMUSG00000026566	45.09	165592240	165634538
ENSMUSG00000058454	48.83	143823145	143848410
ENSMUSG00000087089	41.82	45160943	45213656
ENSMUSG00000028617	43.02	107233514	107253532
ENSMUSG00000026024	42.87	59162926	59237231
ENSMUSG00000106004	41.94	15464171	15478876
ENSMUSG00000103248	52.81	45189570	45189872
ENSMUSG00000083073	41.28	15154392	15154718
ENSMUSG00000080981	53.74	45280594	45280954
ENSMUSG00000106445	44.79	15524456	15529222
ENSMUSG00000029861	50.87	42315312	42324643
ENSMUSG00000104099	41.35	45274418	45296390
ENSMUSG00000015944	50.35	134099711	134144343
ENSMUSG00000063882	42.70	116066965	116075071
ENSMUSG00000035851	35.68	86804221	86836659
ENSMUSG00000101841	52.32	9149778	9150597
ENSMUSG00000098488	55.39	120033417	120043030
ENSMUSG00000029003	50.36	148130384	148145699
ENSMUSG00000082632	48.00	15396748	15397720
ENSMUSG00000069720	44.83	15652286	15657059
ENSMUSG00000026205	48.66	75125541	75133890
ENSMUSG00000046593	46.00	40472180	40477168
ENSMUSG00000084758	44.54	101403081	101407856
ENSMUSG00000053835	46.74	36005695	36020560
ENSMUSG00000081389	36.98	15481912	15482341
ENSMUSG00000017211	46.94	98646759	98657964
ENSMUSG00000103676	44.92	170973373	170977746
ENSMUSG00000083885	56.96	133638210	133638683
ENSMUSG00000105300	40.87	15538002	15605066
ENSMUSG00000085817	39.43	91626589	91630139
ENSMUSG00000025104	39.95	81881251	81934473
ENSMUSG00000086355	44.70	40482840	40525548
ENSMUSG00000099568	48.90	153743552	153749324
ENSMUSG00000024283	38.23	7868832	7973547
ENSMUSG00000086755	40.27	64075533	64083814
ENSMUSG00000089631	47.10	122131092	122131505
ENSMUSG00000102471	56.54	39597417	39598005
ENSMUSG00000096878	44.58	15577333	15582078
ENSMUSG00000052151	53.60	79526430	79533787
ENSMUSG00000090637	52.93	80383104	80385185
ENSMUSG00000030047	46.24	87458545	87533259
ENSMUSG00000101722	47.81	80382822	80386251
ENSMUSG00000030717	47.46	126623249	126630861
ENSMUSG00000101454	47.75	39170500	39174260
ENSMUSG00000081588	42.80	104565400	104566726
ENSMUSG00000051373	52.48	32095528	32110820
ENSMUSG00000073821	41.15	63979854	64149924
ENSMUSG00000043252	40.84	15265831	15286753
ENSMUSG00000102017	47.90	39219372	39223175
ENSMUSG00000002797	43.86	54982580	54992950
ENSMUSG00000082706	57.59	104571268	104571557
ENSMUSG00000101483	39.07	80445932	80479867
ENSMUSG00000097653	45.83	39257199	39262358
ENSMUSG00000070933	44.72	15619064	15623864
ENSMUSG00000033773	41.93	107597373	107661838
ENSMUSG00000086222	46.71	104556789	104557777
ENSMUSG00000026475	50.45	153740349	153745468
ENSMUSG00000083803	50.72	44382922	44383337
ENSMUSG00000097083	46.61	39650176	39657390
ENSMUSG00000099951	49.27	39273921	39277409
ENSMUSG00000081720	50.11	40678332	40678778
ENSMUSG00000091817	44.31	10537285	10539532
ENSMUSG00000100112	48.15	39308367	39312129
ENSMUSG00000045636	43.24	40990914	41133726
ENSMUSG00000036162	55.06	41517437	41518929
ENSMUSG00000100721	48.51	39362598	39366398
ENSMUSG00000097620	54.61	141115660	141118087
ENSMUSG00000094230	41.17	15516489	15656679
ENSMUSG00000026158	42.44	23366424	23397772
ENSMUSG00000105313	38.61	69086185	69086487
ENSMUSG00000105536	50.48	10558353	10559396
ENSMUSG00000050967	45.47	39618406	39651474
ENSMUSG00000023089	41.04	24518666	24528013
ENSMUSG00000053742	44.86	39407294	39413160
ENSMUSG00000096742	39.90	94988626	95026536
ENSMUSG00000106274	43.50	10668075	10668543
ENSMUSG00000046372	43.10	39445830	39449221
ENSMUSG00000101372	42.98	27989910	27991782
ENSMUSG00000020457	42.81	3187360	3266415
ENSMUSG00000050732	49.84	72385223	72390703
ENSMUSG00000107376	42.72	95063576	95066307
ENSMUSG00000037553	49.94	133605299	133650154
ENSMUSG00000040242	40.08	146577203	146599198
ENSMUSG00000067212	54.14	36029773	36032855
ENSMUSG00000105086	36.72	48279667	48281420
ENSMUSG00000097573	49.42	59119833	59122141
ENSMUSG00000027900	38.07	106547798	106575890
ENSMUSG00000096094	47.03	75220095	75232102
ENSMUSG00000094117	46.33	70518250	70518849
ENSMUSG00000022096	54.17	70552212	70573548
ENSMUSG00000100850	49.58	90153628	90159462
ENSMUSG00000000305	49.53	179442431	179899373
ENSMUSG00000027355	42.27	116878691	116892494
ENSMUSG00000090013	53.40	89184672	89186025
ENSMUSG00000044337	48.86	90203980	90216751
ENSMUSG00000091019	51.98	7932782	7933514
ENSMUSG00000040842	50.83	141113001	141139775
ENSMUSG00000029784	41.92	30509849	30520254
ENSMUSG00000054598	45.41	65979358	66004285
ENSMUSG00000104087	47.92	90227160	90228526
ENSMUSG00000101951	48.11	90255276	90260120
ENSMUSG00000083197	45.36	61224792	61225082
ENSMUSG00000060416	45.57	89211165	89216237
ENSMUSG00000101028	47.41	90280458	90283912
ENSMUSG00000029389	50.81	124552864	124569660
ENSMUSG00000039903	47.77	90826719	90905109
ENSMUSG00000106780	45.24	95100024	95102282
ENSMUSG00000101997	44.95	90453394	90454501
ENSMUSG00000100680	52.41	91440987	91441755
ENSMUSG00000005034	40.73	146729574	146812990
ENSMUSG00000103292	48.86	90520496	90523297
ENSMUSG00000087056	41.76	125124356	125134327
ENSMUSG00000041895	48.76	109573331	109611967
ENSMUSG00000029122	49.42	37289098	37336894
ENSMUSG00000028771	39.77	20986645	21055911
ENSMUSG00000044287	57.10	105893567	105895023
ENSMUSG00000095996	41.95	95182624	95195342
ENSMUSG00000106957	39.34	90803261	90806392
ENSMUSG00000025223	54.53	46032593	46045214
ENSMUSG00000019846	40.82	38965515	39110188
ENSMUSG00000046733	47.85	135065651	135084709
ENSMUSG00000062647	52.99	26910764	26913318
ENSMUSG00000083674	43.92	144459280	144500267
ENSMUSG00000053695	40.66	18986233	18991055
ENSMUSG00000081250	48.96	75772159	75773071
ENSMUSG00000106158	32.26	21031752	21033084
ENSMUSG00000086733	44.84	109616320	109641789
ENSMUSG00000038871	44.70	34476207	34505613
ENSMUSG00000085672	41.13	41053110	41064706
ENSMUSG00000096066	44.01	95268493	95272768
ENSMUSG00000037266	46.23	134923592	134927671
ENSMUSG00000107044	42.08	90832328	90835951
ENSMUSG00000084960	45.73	41017468	41024216
ENSMUSG00000028439	47.94	41517691	41569538
ENSMUSG00000047905	51.61	67205619	67206083
ENSMUSG00000035394	43.62	74283090	74359986
ENSMUSG00000090622	50.88	69209762	69213098
ENSMUSG00000107348	44.34	95280462	95283192
ENSMUSG00000061086	46.50	104550663	104595753
ENSMUSG00000104923	44.43	44405957	44406593
ENSMUSG00000053790	38.67	19023407	19026566
ENSMUSG00000049410	52.96	134053838	134058996
ENSMUSG00000104800	40.60	44412793	44427592
ENSMUSG00000072679	43.22	143245888	143297272
ENSMUSG00000107307	47.02	37297630	37297780
ENSMUSG00000080726	41.42	19034210	19038446
ENSMUSG00000080869	42.12	15486366	15486790
ENSMUSG00000095419	50.49	74303524	74303931
ENSMUSG00000061847	41.04	19052826	19064810
ENSMUSG00000029380	44.64	90891241	90893115
ENSMUSG00000087623	50.19	41520694	41525823
ENSMUSG00000083330	38.68	15531657	15532111
ENSMUSG00000032883	42.55	78657825	78707743
ENSMUSG00000049265	52.38	30588170	30625271
ENSMUSG00000082673	41.36	15636169	15636492
ENSMUSG00000107331	43.02	73311364	73312560
ENSMUSG00000058145	45.73	66839735	67152625
ENSMUSG00000022537	48.95	30511855	30550842
ENSMUSG00000084181	41.77	15740930	15741767
ENSMUSG00000107292	47.59	73308059	73308577
ENSMUSG00000104946	42.12	146803163	146803841
ENSMUSG00000022876	38.37	75858793	76022270
ENSMUSG00000081026	45.80	15819074	15821370
ENSMUSG00000029592	50.27	114065461	114124720
ENSMUSG00000029458	46.87	121660563	121687256
ENSMUSG00000078162	55.09	142962611	142963612
ENSMUSG00000053214	51.88	30573987	30588619
ENSMUSG00000103098	45.79	165613059	165613890
ENSMUSG00000105652	40.70	143017660	143040752
ENSMUSG00000023439	52.90	124834240	124840275
ENSMUSG00000103467	48.49	189913339	189915959
ENSMUSG00000087214	40.04	76000784	76009743
ENSMUSG00000105514	51.92	114115829	114117681
ENSMUSG00000106052	39.95	143107948	143157903
ENSMUSG00000104435	55.34	189879935	189884652
ENSMUSG00000018341	41.12	67291318	67376188
ENSMUSG00000020612	44.61	109649405	109669656
ENSMUSG00000106484	51.83	114108926	114109990
ENSMUSG00000083226	48.01	90915180	90915731
ENSMUSG00000067365	45.61	38260185	38269634
ENSMUSG00000078700	50.43	96916270	96965060
ENSMUSG00000030424	44.19	39449518	39477413
ENSMUSG00000100490	40.76	39489438	39498801
ENSMUSG00000085187	43.09	34533553	34541387
ENSMUSG00000053303	37.92	7781041	7802667
ENSMUSG00000086932	44.34	104557922	104565661
ENSMUSG00000068959	41.91	39517766	39540415
ENSMUSG00000054770	41.23	57955101	58018956
ENSMUSG00000030157	41.59	129180615	129186534
ENSMUSG00000038611	47.10	141228784	141262750
ENSMUSG00000037784	47.79	99629496	99669256
ENSMUSG00000104150	48.23	39542537	39544906
ENSMUSG00000026955	55.51	25372321	25378213
ENSMUSG00000058427	45.07	90903871	90905938
ENSMUSG00000020686	52.48	83421902	83429455
ENSMUSG00000099697	40.92	39552496	39565319
ENSMUSG00000008958	45.83	95111022	95123051
ENSMUSG00000103356	39.49	15531113	15532854
ENSMUSG00000041609	45.76	115648175	115731621
ENSMUSG00000103865	59.75	16023108	16023425
ENSMUSG00000107218	43.07	90922732	90924902
ENSMUSG00000086184	48.18	34388665	34394779
ENSMUSG00000017204	48.65	98664351	98677708
ENSMUSG00000044702	43.98	122107262	122132946
ENSMUSG00000091806	53.52	86323267	86323593
ENSMUSG00000107220	56.09	32185497	32186079
ENSMUSG00000029815	42.32	49073795	49086751
ENSMUSG00000082684	54.09	34383659	34384074
ENSMUSG00000103131	44.52	59886969	59887689
ENSMUSG00000067656	40.04	7864388	7966027
ENSMUSG00000019802	39.23	42761496	42832514
ENSMUSG00000075520	37.40	15526479	16255555
ENSMUSG00000026603	50.88	189880492	189922363
ENSMUSG00000081245	42.90	15956925	15957537
ENSMUSG00000085929	47.23	27540426	27543362
ENSMUSG00000098915	53.02	72060937	72061549
ENSMUSG00000024997	41.60	60864051	60874556
ENSMUSG00000057173	48.45	39665301	39720997
ENSMUSG00000104469	36.06	71988973	71991271
ENSMUSG00000102430	48.96	172781445	172781877
ENSMUSG00000080972	56.24	135698163	135699019
ENSMUSG00000104432	35.95	72011376	72013019
ENSMUSG00000042078	49.46	114026910	114091570
ENSMUSG00000099313	56.57	71948879	71948977
ENSMUSG00000105239	47.40	135653810	135672987
ENSMUSG00000104078	35.57	72001378	72003803
ENSMUSG00000073924	50.05	104617657	104618647
ENSMUSG00000051596	48.67	38275972	38304217
ENSMUSG00000037942	39.67	172698055	172833031
ENSMUSG00000020689	47.30	104608000	104670476
ENSMUSG00000098761	46.69	71908843	71909551
ENSMUSG00000102939	37.83	71896713	71899453
ENSMUSG00000073923	46.10	104635676	104636636
ENSMUSG00000040774	36.50	106502260	106547802
ENSMUSG00000102143	42.27	71852001	71855203
ENSMUSG00000038072	45.93	25221904	25265918
ENSMUSG00000031657	42.69	88137855	88172027
ENSMUSG00000022972	52.15	90925809	90934927
ENSMUSG00000085955	52.73	98682921	98683415
ENSMUSG00000102874	35.88	72040552	72043235
ENSMUSG00000104107	32.13	71939591	71941585
ENSMUSG00000070421	38.07	104642880	104647305
ENSMUSG00000020614	46.51	109669749	109722279
ENSMUSG00000079470	43.61	78658038	78671512
ENSMUSG00000082084	49.11	104652252	104653208
ENSMUSG00000045659	48.87	116123493	116308376
ENSMUSG00000103648	41.27	76116891	76118550
ENSMUSG00000073922	45.20	104670704	104671672
ENSMUSG00000102701	36.50	172873551	172874413
ENSMUSG00000026039	38.99	57995971	58025899
ENSMUSG00000031174	40.20	10073621	10216920
ENSMUSG00000061981	49.36	78037931	78060434
ENSMUSG00000085734	47.54	109768486	109770599
ENSMUSG00000105295	44.14	10706909	10707164
ENSMUSG00000010796	37.88	18050964	18109061
ENSMUSG00000081694	46.40	104678718	104679092
ENSMUSG00000044339	52.99	114123926	114128218
ENSMUSG00000079424	40.01	95305911	95343917
ENSMUSG00000098089	43.45	76144977	76145724
ENSMUSG00000051885	45.96	104733385	104734350
ENSMUSG00000089871	40.85	15680710	15714596
ENSMUSG00000026542	42.65	172893961	172895041
ENSMUSG00000103696	38.49	59929688	59935102
ENSMUSG00000038533	41.66	154436481	154539356
ENSMUSG00000066568	40.39	34344646	34389540
ENSMUSG00000026696	40.32	162570515	162599084
ENSMUSG00000027762	36.54	60081869	60087566
ENSMUSG00000104751	50.91	52342086	52342360
ENSMUSG00000086229	44.82	104821204	104822256
ENSMUSG00000037924	42.20	172956382	172957817
ENSMUSG00000073208	44.94	15709501	15714271
ENSMUSG00000106730	43.19	173052832	173053690
ENSMUSG00000072941	50.05	52363791	52371418
ENSMUSG00000042462	49.83	127256959	127260709
ENSMUSG00000107139	42.71	173076976	173077270
ENSMUSG00000001670	45.34	109990437	109999803
ENSMUSG00000107122	42.77	95381054	95383784
ENSMUSG00000020107	46.76	59987409	60003135
ENSMUSG00000017221	50.86	98682554	98695979
ENSMUSG00000100370	37.16	39566946	39570556
ENSMUSG00000041040	41.20	59913006	59985346
ENSMUSG00000048490	42.99	76287400	76373827
ENSMUSG00000033581	45.58	22059009	22163299
ENSMUSG00000046441	44.79	110215665	110224486
ENSMUSG00000101853	43.59	86328039	86328873
ENSMUSG00000083748	47.90	104679105	104680655
ENSMUSG00000093732	40.92	71310745	71313977
ENSMUSG00000075044	38.74	8160165	8218900
ENSMUSG00000032360	37.71	76225880	76323856
ENSMUSG00000043787	42.11	19111931	19114839
ENSMUSG00000043811	53.87	18127642	18152408
ENSMUSG00000037710	46.83	71330480	71344954
ENSMUSG00000040838	39.69	104685707	104753962
ENSMUSG00000023033	47.28	100869858	101045938
ENSMUSG00000081513	59.59	104814416	104815640
ENSMUSG00000028613	51.32	107802261	107876840
ENSMUSG00000080694	46.52	104928216	104928804
ENSMUSG00000082767	40.96	105031157	105031847
ENSMUSG00000038624	40.51	52388972	52404607
ENSMUSG00000098179	49.70	26673601	26674612
ENSMUSG00000057788	52.12	70292866	70302489
ENSMUSG00000038522	45.10	40001575	40025268
ENSMUSG00000036617	41.38	19909780	20810713
ENSMUSG00000062704	44.63	88174560	88175034
ENSMUSG00000052384	47.01	32142785	32165594
ENSMUSG00000018995	40.31	96951505	97064761
ENSMUSG00000042901	42.18	183296590	183325476
ENSMUSG00000005672	46.01	75574916	75656722
ENSMUSG00000098103	50.16	25726696	25727616
ENSMUSG00000033249	53.63	105269801	105275845
ENSMUSG00000083669	59.77	29965218	29965565
ENSMUSG00000086633	42.59	130269950	130281258
ENSMUSG00000003038	52.59	133964738	133968650
ENSMUSG00000027901	45.67	106482405	106503030
ENSMUSG00000107225	48.19	117130323	117133248
ENSMUSG00000018217	48.13	63128982	63159547
ENSMUSG00000026018	42.80	59982490	60043184
ENSMUSG00000029152	39.47	73292784	73314069
ENSMUSG00000028245	42.73	6396207	6454271
ENSMUSG00000070378	48.83	74195505	74196446
ENSMUSG00000103523	42.85	92604718	92607492
ENSMUSG00000100901	39.09	59950403	59952464
ENSMUSG00000082575	56.95	143242024	143243368
ENSMUSG00000080903	47.54	40001217	40001887
ENSMUSG00000036449	52.23	25653120	25656217
ENSMUSG00000038079	42.57	59100590	59120408
ENSMUSG00000010538	46.49	88282757	88296999
ENSMUSG00000003476	51.29	55090049	55133016
ENSMUSG00000083315	39.02	21009880	21010940
ENSMUSG00000106897	38.47	67980671	67984361
ENSMUSG00000087279	57.33	70615848	70616890
ENSMUSG00000028496	40.72	87769925	88033364
ENSMUSG00000105865	51.74	72572174	72572432
ENSMUSG00000025956	44.08	64606473	64617242
ENSMUSG00000107142	45.40	31486629	31495179
ENSMUSG00000070377	49.47	74206273	74207214
ENSMUSG00000039844	49.26	29619720	29740978
ENSMUSG00000103591	41.93	87897540	87900532
ENSMUSG00000086848	43.16	92620081	92621660
ENSMUSG00000107257	48.44	67988527	67989007
ENSMUSG00000028364	43.16	63959785	64047015
ENSMUSG00000082388	56.59	98234745	98235290
ENSMUSG00000103574	46.26	88284607	88284753
ENSMUSG00000083644	47.46	98268083	98268575
ENSMUSG00000081150	49.95	99430256	99431254
ENSMUSG00000103647	51.22	38884754	38888072
ENSMUSG00000022386	48.52	85879312	85897394
ENSMUSG00000059173	38.91	79834453	80129458
ENSMUSG00000029685	40.23	24528144	24573164
ENSMUSG00000031841	45.87	118283733	119324921
ENSMUSG00000045973	46.41	45395923	45408766
ENSMUSG00000104445	53.06	88242874	88254709
ENSMUSG00000028612	55.21	107827896	107830844
ENSMUSG00000060733	45.31	71347763	71433327
ENSMUSG00000003573	53.45	70282827	70294361
ENSMUSG00000057609	46.53	92646535	92648307
ENSMUSG00000080803	49.16	99520052	99520466
ENSMUSG00000096380	61.18	77798387	77799133
ENSMUSG00000055436	38.51	158010473	158036639
ENSMUSG00000094913	61.89	77810967	77811845
ENSMUSG00000027923	50.51	92655650	92656926
ENSMUSG00000074064	52.20	119394878	119411102
ENSMUSG00000013465	49.97	25199712	25211489
ENSMUSG00000014609	54.57	70614883	70619216
ENSMUSG00000046683	44.31	98321398	98331791
ENSMUSG00000101621	39.19	9976627	10151476
ENSMUSG00000027506	46.38	8925593	9004723
ENSMUSG00000057216	56.23	58227857	58228651
ENSMUSG00000075046	57.91	58230654	58232675
ENSMUSG00000022619	54.49	89453913	89464468
ENSMUSG00000025608	49.39	31519488	31563981
ENSMUSG00000082144	48.70	98352427	98352734
ENSMUSG00000096171	53.77	40011866	40012873
ENSMUSG00000103575	45.02	99525932	99530662
ENSMUSG00000075045	52.27	58234848	58236701
ENSMUSG00000103766	48.00	88243380	88287210
ENSMUSG00000083188	49.31	74239531	74240540
ENSMUSG00000087332	46.07	99569500	99573011
ENSMUSG00000101969	37.69	16951294	17095782
ENSMUSG00000026080	47.41	38863867	38898161
ENSMUSG00000023391	57.51	71543408	71546754
ENSMUSG00000083698	47.88	99615817	99616522
ENSMUSG00000081864	42.87	74255221	74266236
ENSMUSG00000086798	42.79	76078617	76080502
ENSMUSG00000043421	49.44	29272488	29275446
ENSMUSG00000104215	50.48	92664214	92664841
ENSMUSG00000009216	51.56	27110380	27142491
ENSMUSG00000056995	41.77	88391249	88392220
ENSMUSG00000070375	49.86	74269356	74270444
ENSMUSG00000053644	45.23	56509687	56572951
ENSMUSG00000085008	48.98	27144898	27162703
ENSMUSG00000075127	42.21	88402009	88402932
ENSMUSG00000081498	47.35	74280715	74281732
ENSMUSG00000103241	34.28	28569918	28571431
ENSMUSG00000104034	36.48	14673404	14674812
ENSMUSG00000085412	43.28	52102949	52113684
ENSMUSG00000005124	46.87	66891320	66923201
ENSMUSG00000064037	45.96	31494741	31512904
ENSMUSG00000091575	50.89	106481982	106485913
ENSMUSG00000015653	41.75	5664829	5694578
ENSMUSG00000078680	41.02	60578260	60582199
ENSMUSG00000086240	40.51	28580499	28580772
ENSMUSG00000075126	38.60	88411727	88412656
ENSMUSG00000020436	35.79	41910203	42000857
ENSMUSG00000105272	38.14	106567605	106569636
ENSMUSG00000070374	42.79	74283736	74289619
ENSMUSG00000087086	40.27	14740372	14767024
ENSMUSG00000082868	44.44	60597597	60597695
ENSMUSG00000106592	43.13	106553478	106553892
ENSMUSG00000102385	58.71	96700173	96700637
ENSMUSG00000020226	42.25	76057494	76110961
ENSMUSG00000085281	54.12	14811848	14812538
ENSMUSG00000064263	46.74	71719417	71730966
ENSMUSG00000082378	47.78	74298151	74299073
ENSMUSG00000086096	51.42	99653607	99654983
ENSMUSG00000105923	40.00	143243055	143259884
ENSMUSG00000102673	44.14	14944908	14946844
ENSMUSG00000068855	61.15	96220361	96220880
ENSMUSG00000075125	41.24	88423088	88424023
ENSMUSG00000083886	49.79	74317027	74318000
ENSMUSG00000106162	40.73	143330420	143332032
ENSMUSG00000104106	41.38	14706834	14739722
ENSMUSG00000083299	46.53	74322546	74323467
ENSMUSG00000105917	38.35	143368576	143371782
ENSMUSG00000087570	44.09	71737815	71745397
ENSMUSG00000070271	50.35	14626889	14627321
ENSMUSG00000068854	45.27	96221119	96223738
ENSMUSG00000106210	37.57	143409401	143411532
ENSMUSG00000063116	50.21	74334282	74335229
ENSMUSG00000029138	47.57	31485740	31488476
ENSMUSG00000075124	41.72	88446019	88446936
ENSMUSG00000103885	41.02	14707665	14710338
ENSMUSG00000083633	49.72	14672255	14672972
ENSMUSG00000107259	49.78	41853310	41854201
ENSMUSG00000081058	60.20	96238108	96239127
ENSMUSG00000054406	42.86	74346635	74352621
ENSMUSG00000106083	40.85	15798001	15799033
ENSMUSG00000090097	31.20	88446019	88449121
ENSMUSG00000107290	39.04	66969429	66971585
ENSMUSG00000015202	46.40	7119063	7212237
ENSMUSG00000051732	46.79	39773497	39776082
ENSMUSG00000005514	49.75	135670033	135735326
ENSMUSG00000106785	42.65	67038432	67039376
ENSMUSG00000081719	49.87	77962269	77963062
ENSMUSG00000058275	50.59	74364671	74365609
ENSMUSG00000031979	49.57	124520767	124552008
ENSMUSG00000036634	52.57	30899176	30914873
ENSMUSG00000095150	52.61	40726269	40726709
ENSMUSG00000071195	64.52	77853024	77853536
ENSMUSG00000087306	37.34	41710342	41973117
ENSMUSG00000085431	39.28	78051177	78194430
ENSMUSG00000037622	47.69	133292459	133353481
ENSMUSG00000028411	46.06	40682382	40703194
ENSMUSG00000084293	42.17	41789488	41789819
ENSMUSG00000049372	39.04	88461342	88462253
ENSMUSG00000025375	54.98	120007313	120047167
ENSMUSG00000086595	45.65	53723953	53724618
ENSMUSG00000027854	43.39	102995708	103008459
ENSMUSG00000089911	42.66	116631164	116662677
ENSMUSG00000054510	39.11	78237547	78302230
ENSMUSG00000082701	57.90	78512698	78513336
ENSMUSG00000082046	51.59	78597669	78598922
ENSMUSG00000105000	46.49	143575533	143577001
ENSMUSG00000035900	52.63	86057695	86137634
ENSMUSG00000032480	46.45	110084320	110117830
ENSMUSG00000069581	49.97	77829467	77887021
ENSMUSG00000044813	51.44	45423278	45532470
ENSMUSG00000068890	47.62	92668613	92670315
ENSMUSG00000104939	40.73	143576614	143589170
ENSMUSG00000084239	49.00	78657429	78657926
ENSMUSG00000008301	44.01	56562443	56587712
ENSMUSG00000106198	47.60	143393689	143397457
ENSMUSG00000084101	44.64	78845286	78845453
ENSMUSG00000083654	45.81	21626380	21627178
ENSMUSG00000105511	40.85	143603805	143624575
ENSMUSG00000103243	48.13	92685499	92687210
ENSMUSG00000036117	43.03	53720794	53725106
ENSMUSG00000096131	63.65	77814852	77815404
ENSMUSG00000103816	41.19	143644890	143650953
ENSMUSG00000051424	41.56	88486734	88487669
ENSMUSG00000106109	38.58	143650310	143652087
ENSMUSG00000084809	48.13	88033501	88034998
ENSMUSG00000069582	61.26	77826115	77827095
ENSMUSG00000042092	48.09	92679247	92680918
ENSMUSG00000081530	41.60	88043804	88044041
ENSMUSG00000083257	44.93	10343115	10344327
ENSMUSG00000105279	39.24	143670892	143712210
ENSMUSG00000082882	37.94	88499087	88499998
